county,state,fips,stayput,inflow,outflow,year
Burke,GA,13033,16224,509,748,2017
Burke,ND,38013,1892,0,0,2017
Burleigh,ND,38015,74223,3272,3583,2017
Burleson,TX,48051,13087,828,491,2017
Burlington,NJ,34005,357962,21549,20653,2017
Burnet,TX,48053,33843,3185,2056,2017
Burnett,WI,55013,11977,668,327,2017
Burt,NE,31021,5366,199,162,2017
Butler,NE,31023,6845,158,155,2017
Butler,KY,21031,9401,259,218,2017
Butler,OH,39017,282484,17991,17416,2017
Butler,AL,1013,13808,314,424,2017
Butler,MO,29023,28794,933,1089,2017
Butler,PA,42019,155290,7446,5362,2017
Butler,IA,19023,12094,479,399,2017
Butler,KS,20015,49789,3308,2847,2017
Butte,CA,6007,149133,8212,6421,2017
Butte,ID,16023,1848,0,0,2017
Butte,SD,46019,7437,441,434,2017
Butts,GA,13035,15031,1314,1024,2017
Cabarrus,NC,37025,154198,14618,10634,2017
Cabell,WV,54011,61920,2372,3138,2017
Cache,UT,49005,93806,4418,5712,2017
Caddo,OK,40015,18731,900,932,2017
Caddo,LA,22017,176136,7482,10417,2017
Calaveras,CA,6009,31080,2577,1461,2017
Calcasieu,LA,22019,147468,5724,5092,2017
Caldwell,KY,21033,9086,349,274,2017
Caldwell,LA,22021,6571,211,175,2017
Caldwell,NC,37027,57087,2230,1966,2017
Caldwell,TX,48055,29013,3643,1869,2017
Caldwell,MO,29025,6568,424,328,2017
Caledonia,VT,50005,23125,867,806,2017
Calhoun,IL,17013,3851,51,0,2017
Calhoun,FL,12013,8038,369,444,2017
Calhoun,GA,13037,3318,58,106,2017
Calhoun,WV,54013,4452,0,47,2017
Calhoun,TX,48057,15728,450,752,2017
Calhoun,SC,45017,10054,596,590,2017
Calhoun,AR,5013,3254,80,100,2017
Calhoun,MI,26025,97907,3888,4135,2017
Calhoun,IA,19025,7727,213,251,2017
Calhoun,MS,28013,10492,248,274,2017
Calhoun,AL,1015,80294,2783,3405,2017
Callahan,TX,48059,9609,665,464,2017
Callaway,MO,29027,31277,1841,1616,2017
Calloway,KY,21035,23534,658,786,2017
Calumet,WI,55015,41709,3764,3147,2017
Calvert,MD,24009,72450,4212,2977,2017
Camas,ID,16025,766,0,0,2017
Cambria,PA,42021,103352,2041,2345,2017
Camden,NC,37029,7495,638,376,2017
Camden,NJ,34007,392611,21730,23451,2017
Camden,GA,13039,34568,2429,2690,2017
Camden,MO,29029,30100,2040,1682,2017
Cameron,LA,22023,4987,272,231,2017
Cameron,TX,48061,320670,6461,8348,2017
Cameron,PA,42023,3599,35,75,2017
Camp,TX,48063,9176,421,458,2017
Campbell,WY,56005,37569,610,1555,2017
Campbell,VA,51031,40218,3017,3003,2017
Campbell,TN,47013,25373,767,915,2017
Campbell,SD,46021,1222,0,0,2017
Campbell,KY,21037,66592,4917,4859,2017
Canadian,OK,40017,100388,10974,7664,2017
Candler,GA,13043,7033,212,298,2017
Cannon,TN,47015,9655,887,587,2017
Canyon,ID,16027,155376,15064,10352,2017
Cape Girardeau,MO,29031,56801,2240,2298,2017
Cape May,NJ,34009,73371,3822,2620,2017
Carbon,MT,30009,7557,420,262,2017
Carbon,UT,49007,14400,437,577,2017
Carbon,PA,42025,48227,2763,2025,2017
Carbon,WY,56007,11467,217,307,2017
Caribou,ID,16029,5507,95,90,2017
Carlisle,KY,21039,3739,77,145,2017
Carlton,MN,27017,26488,1316,978,2017
Caroline,VA,51033,21605,2152,1614,2017
Caroline,MD,24011,24680,1716,1407,2017
Carroll,MO,29033,6852,51,93,2017
Carroll,AR,5015,19815,629,722,2017
Carroll,IA,19027,17601,355,426,2017
Carroll,MS,28015,7251,332,331,2017
Carroll,TN,47017,19430,893,914,2017
Carroll,OH,39019,20695,1232,1120,2017
Carroll,IN,18015,15909,1126,964,2017
Carroll,KY,21041,7823,380,378,2017
Carroll,IL,17015,11963,372,380,2017
Carroll,GA,13045,78748,5208,5037,2017
Carroll,VA,51035,20420,777,721,2017
Carroll,MD,24013,140106,8686,6304,2017
Carroll,NH,33003,37360,2601,1493,2017
Carson,TX,48065,4368,356,324,2017
Carson,NV,32510,39475,3728,2898,2017
Carter,MT,30011,1003,0,0,2017
Carter,MO,29035,4166,103,114,2017
Carter,OK,40019,34824,1263,1582,2017
Carter,TN,47019,36874,2007,2037,2017
Carter,KY,21043,19059,491,538,2017
Carteret,NC,37031,48710,2796,2006,2017
Carver,MN,27019,85302,7517,5385,2017
Cascade,MT,30013,61329,2030,2393,2017
Casey,KY,21045,10444,352,221,2017
Cass,MO,29037,79500,6411,5176,2017
Cass,IA,19029,10480,294,273,2017
Cass,IL,17017,10768,329,413,2017
Cass,MN,27021,22166,1653,1171,2017
Cass,TX,48067,21306,939,734,2017
Cass,MI,26027,37458,3025,2357,2017
Cass,NE,31025,20913,1946,1239,2017
Cass,ND,38017,131798,7477,8321,2017
Cass,IN,18017,30335,1138,1245,2017
Cassia,ID,16031,19181,889,1033,2017
Castro,TX,48069,5627,66,82,2017
Caswell,NC,37033,15131,823,814,2017
Catahoula,LA,22025,6385,143,181,2017
Catawba,NC,37035,118705,6269,5807,2017
Catoosa,GA,13047,44488,3932,3520,2017
Catron,NM,35003,2000,0,0,2017
Cattaraugus,NY,36009,55631,2047,1924,2017
Cavalier,ND,38019,3318,0,0,2017
Cayuga,NY,36011,56276,1882,1907,2017
Cecil,MD,24015,75918,4349,3537,2017
Cedar,MO,29039,9479,438,342,2017
Cedar,NE,31027,7445,134,136,2017
Cedar,IA,19031,14769,960,729,2017
Centre,PA,42027,94713,2845,3748,2017
Cerro Gordo,IA,19033,32945,950,1075,2017
Chaffee,CO,8015,13252,761,319,2017
Chambers,AL,1017,23165,1203,1235,2017
Chambers,TX,48071,32167,3659,2599,2017
Champaign,IL,17019,134294,5219,8264,2017
Champaign,OH,39021,29570,1997,1610,2017
Chariton,MO,29041,5969,60,111,2017
Charles,MD,24017,121264,10861,7949,2017
Charles,VA,51036,5104,299,119,2017
Charles Mix,SD,46023,6745,56,69,2017
Charleston,SC,45019,265825,24851,24048,2017
Charlevoix,MI,26029,20709,881,869,2017
Charlotte,VA,51037,8638,214,220,2017
Charlotte,FL,12015,113976,10062,6731,2017
Charlottesville,VA,51540,24752,2905,4128,2017
Charlton,GA,13049,5958,326,262,2017
Chase,KS,20017,2012,45,44,2017
Chase,NE,31029,3297,0,0,2017
Chatham,GA,13051,183585,12930,16506,2017
Chatham,NC,37037,54784,4622,2939,2017
Chattahoochee,GA,13053,3268,1337,1110,2017
Chattooga,GA,13055,16105,395,469,2017
Chautauqua,NY,36013,93084,1430,1620,2017
Chautauqua,KS,20019,2402,0,54,2017
Chaves,NM,35005,45451,852,1360,2017
Cheatham,TN,47021,30481,2910,2188,2017
Cheboygan,MI,26031,19074,850,536,2017
Chelan,WA,53007,63023,4720,4033,2017
Chemung,NY,36015,63240,1645,1590,2017
Chenango,NY,36017,36389,1207,1257,2017
Cherokee,OK,40021,29994,1519,1638,2017
Cherokee,AL,1019,16186,819,545,2017
Cherokee,NC,37039,18163,302,294,2017
Cherokee,SC,45021,38827,1635,1741,2017
Cherokee,IA,19035,9507,200,177,2017
Cherokee,KS,20021,14331,744,744,2017
Cherokee,TX,48073,37036,1768,1541,2017
Cherokee,GA,13057,183827,17928,12979,2017
Cherry,NE,31031,4654,0,0,2017
Chesapeake,VA,51550,173967,20787,18283,2017
Cheshire,NH,33005,56358,2397,2020,2017
Chester,PA,42029,429953,24365,21218,2017
Chester,SC,45023,22922,1208,1142,2017
Chester,TN,47023,11517,562,574,2017
Chesterfield,SC,45025,30828,1066,1007,2017
Chesterfield,VA,51041,268998,22507,17817,2017
Cheyenne,KS,20023,2060,0,0,2017
Cheyenne,CO,8017,1412,0,0,2017
Cheyenne,NE,31033,7836,95,0,2017
Chickasaw,MS,28017,12547,552,645,2017
Chickasaw,IA,19037,9996,296,215,2017
Chicot,AR,5017,6715,145,254,2017
Childress,TX,48075,4192,0,0,2017
Chilton,AL,1021,30879,1405,1146,2017
Chippewa,MI,26033,25019,230,244,2017
Chippewa,MN,27023,9989,306,254,2017
Chippewa,WI,55017,50635,2869,2617,2017
Chisago,MN,27025,43300,4040,3177,2017
Chittenden,VT,50007,124322,5403,6556,2017
Choctaw,OK,40023,9258,343,382,2017
Choctaw,MS,28019,5916,92,182,2017
Choctaw,AL,1023,9046,60,50,2017
Chouteau,MT,30015,3648,47,95,2017
Chowan,NC,37041,10250,163,308,2017
Christian,IL,17021,25271,802,818,2017
Christian,KY,21047,44805,4052,6097,2017
Christian,MO,29043,62020,5987,4984,2017
Churchill,NV,32001,17180,1189,804,2017
Cibola,NM,35006,15798,610,601,2017
Cimarron,OK,40025,1917,0,0,2017
Citrus,FL,12017,94907,6348,3886,2017
Clackamas,OR,41005,307221,32001,25788,2017
Claiborne,TN,47025,20684,591,553,2017
Claiborne,LA,22027,9122,235,351,2017
Claiborne,MS,28021,5929,78,200,2017
Clallam,WA,53009,52765,2840,1547,2017
Clare,MI,26035,20461,1260,1077,2017
Clarendon,SC,45027,21828,878,953,2017
Clarion,PA,42031,28129,800,825,2017
Clark,SD,46025,2730,59,58,2017
Clark,ID,16033,652,0,0,2017
Clark,WI,55019,28151,1010,1113,2017
Clark,IN,18019,88848,6603,5919,2017
Clark,MO,29045,5025,74,72,2017
Clark,KY,21049,25704,1510,1355,2017
Clark,OH,39023,101538,4077,3851,2017
Clark,NV,32003,1627000,103780,73232,2017
Clark,AR,5019,13430,465,578,2017
Clark,KS,20025,1555,0,0,2017
Clark,IL,17023,12709,394,426,2017
Clark,WA,53011,369537,29336,21217,2017
Clarke,VA,51043,10956,969,716,2017
Clarke,IA,19039,7424,280,322,2017
Clarke,MS,28023,11579,446,438,2017
Clarke,AL,1025,17821,337,559,2017
Clarke,GA,13059,65791,5581,6965,2017
Clatsop,OR,41007,26613,1740,1285,2017
Clay,IN,18021,20137,1124,1049,2017
Clay,IA,19041,13205,345,307,2017
Clay,KS,20027,6641,122,76,2017
Clay,AL,1027,9820,384,402,2017
Clay,SD,46027,7611,368,528,2017
Clay,NE,31035,4971,169,92,2017
Clay,KY,21051,11921,250,302,2017
Clay,MO,29047,184050,16255,14142,2017
Clay,MS,28025,14168,451,447,2017
Clay,NC,37043,7115,274,231,2017
Clay,IL,17025,10656,257,235,2017
Clay,WV,54015,5921,175,124,2017
Clay,MN,27027,45889,3412,3334,2017
Clay,TN,47027,5168,112,91,2017
Clay,AR,5021,9941,445,456,2017
Clay,GA,13061,1942,0,0,2017
Clay,FL,12019,152795,16565,12270,2017
Clay,TX,48077,7644,498,363,2017
Clayton,IA,19043,14295,463,415,2017
Clayton,GA,13063,186150,26077,25318,2017
Clear Creek,CO,8019,6072,617,242,2017
Clearfield,PA,42033,59778,1768,1633,2017
Clearwater,ID,16035,5446,115,110,2017
Clearwater,MN,27029,6525,236,216,2017
Cleburne,AR,5023,17166,851,727,2017
Cleburne,AL,1029,10167,550,471,2017
Clermont,OH,39025,157028,10543,9794,2017
Cleveland,OK,40027,190609,15857,16458,2017
Cleveland,NC,37045,69666,3448,2871,2017
Cleveland,AR,5025,5590,133,106,2017
Clinch,GA,13065,4492,0,61,2017
Clinton,IL,17027,29572,1354,1203,2017
Clinton,OH,39027,30968,2100,1867,2017
Clinton,NY,36019,58205,944,886,2017
Clinton,KY,21053,6670,133,63,2017
Clinton,PA,42035,28009,825,861,2017
Clinton,IA,19045,36925,1540,1464,2017
Clinton,IN,18023,27004,1105,991,2017
Clinton,MO,29049,15368,1523,1399,2017
Clinton,MI,26037,60820,5305,4197,2017
Cloud,KS,20029,6726,46,90,2017
Coahoma,MS,28027,16635,366,575,2017
Coal,OK,40029,3515,144,158,2017
Cobb,GA,13067,544194,55893,61766,2017
Cochise,AZ,4003,86608,5037,5252,2017
Cochran,TX,48079,2178,0,136,2017
Cocke,TN,47029,24148,877,809,2017
Coconino,AZ,4005,90446,6178,7070,2017
Codington,SD,46029,22488,619,694,2017
Coffee,TN,47031,39498,2736,2267,2017
Coffee,GA,13069,27988,644,508,2017
Coffee,AL,1031,34571,2751,2604,2017
Coffey,KS,20031,6811,143,116,2017
Coke,TX,48081,2194,105,53,2017
Colbert,AL,1033,39355,1917,1934,2017
Cole,MO,29051,58460,2746,3140,2017
Coleman,TX,48083,5604,131,89,2017
Coles,IL,17029,33234,1095,1378,2017
Colfax,NM,35007,7917,63,128,2017
Colfax,NE,31037,9617,184,410,2017
Colleton,SC,45029,27052,1111,1050,2017
Collier,FL,12021,270737,17515,13550,2017
Collin,TX,48085,735702,94960,70958,2017
Collingsworth,TX,48087,2129,0,0,2017
Colonial Heights,VA,51570,12440,1613,1515,2017
Colorado,TX,48089,15995,719,474,2017
Colquitt,GA,13071,31262,979,923,2017
Columbia,NY,36021,45653,1956,1681,2017
Columbia,WI,55021,46565,3650,3158,2017
Columbia,PA,42037,46616,1686,1606,2017
Columbia,OR,41009,36687,3072,1673,2017
Columbia,GA,13073,107456,11009,8297,2017
Columbia,AR,5027,15122,319,407,2017
Columbia,FL,12023,43100,2540,2063,2017
Columbia,WA,53013,2715,81,106,2017
Columbiana,OH,39029,76676,2491,2582,2017
Columbus,NC,37047,35989,1062,1209,2017
Colusa,CA,6011,20579,520,465,2017
Comal,TX,48091,100532,15447,7859,2017
Comanche,KS,20033,1424,0,0,2017
Comanche,OK,40031,74952,5755,6626,2017
Comanche,TX,48093,9633,310,253,2017
Concho,TX,48095,1655,57,52,2017
Concordia,LA,22029,12814,373,469,2017
Conecuh,AL,1035,8005,295,243,2017
Conejos,CO,8021,5651,118,89,2017
Contra Costa,CA,6013,921469,60739,57224,2017
Converse,WY,56009,10752,289,311,2017
Conway,AR,5029,14428,745,603,2017
Cook,MN,27031,4239,99,81,2017
Cook,IL,17031,4138099,136975,221594,2017
Cook,GA,13075,10766,554,618,2017
Cooke,TX,48097,30689,2072,1649,2017
Cooper,MO,29053,12023,531,558,2017
Coos,OR,41011,41586,1874,1457,2017
Coos,NH,33007,22265,783,727,2017
Coosa,AL,1037,6115,440,464,2017
Copiah,MS,28029,19978,755,762,2017
