Date,Location,Demographic_Category,census,Up_to_date,Up_to_date_pct_agegroup
09/13/2023,SD,Female_Ages_5-11_yrs,41555,2248,5.4
09/13/2023,TX,Male_Ages_40-49_yrs,1858035,49383,2.7
09/13/2023,VA,Sex_Unknown,,3141,
09/13/2023,VI,Ages_2-4_yrs,4073,,
09/13/2023,WA,Age_Unknown,,,
09/13/2023,WA,Ages_40-49_yrs,945584,247640,26.2
09/13/2023,WA,Male_Ages_25-39_yrs,889354,155093,17.4
09/13/2023,WI,Female_Ages_25-49_yrs,883489,,
09/13/2023,FM,Male_Ages_25-49_yrs,17699,,
09/13/2023,GU,Ages_2-4_yrs,9444,44,0.5
09/13/2023,GU,Female_Ages_2-4_yrs,4567,19,0.4
09/13/2023,GU,Female_Ages_75+_yrs,2962,865,29.2
09/13/2023,HI,Ages_2-4_yrs,51702,1075,2.1
09/13/2023,ID,Female_Ages_65+_yrs,152796,,
09/13/2023,ID,Female_Ages_75+_yrs,62920,,
09/13/2023,IL,Male_Ages_50-64_yrs,1199059,297234,24.8
09/13/2023,IN,Female_Ages_50-64_yrs,655765,101552,15.5
09/13/2023,KY,Male_Ages_<2yrs,55202,373,0.7
09/13/2023,MA,Female_Ages_5-11_yrs,253547,35935,14.2
09/13/2023,MD,Ages_65-74_yrs,561582,314667,56
09/13/2023,MH,Female_Ages_<5yrs,4187,238,5.7
09/13/2023,MO,Female_Ages_<2yrs,69842,1382,2
09/13/2023,MP,Female_Ages_2-4_yrs,1031,31,3
09/13/2023,MP,Female_Ages_75+_yrs,365,113,31
09/13/2023,MP,Male_Ages_5-11_yrs,3127,206,6.6
09/13/2023,MS,Female_Ages_<5yrs,90291,49,0.1
09/13/2023,MS,Sex_Male,1442292,93459,6.5
09/13/2023,MT,Ages_2-4_yrs,37957,114,0.3
09/13/2023,NH,Male_Ages_25-39_yrs,130544,14517,11.1
09/13/2023,NJ,Male_Ages_50-64_yrs,889733,186884,21
09/13/2023,OH,Male_Ages_65+_yrs,902075,403060,44.7
09/13/2023,OK,Male_Ages_50-64_yrs,349384,52244,15
09/13/2023,PR,Female_Ages_<5yrs,57462,,
09/13/2023,RI,Male_Ages_25-39_yrs,109105,15921,14.6
09/13/2023,TX,Male_Ages_25-49_yrs,5078310,119250,2.3
09/13/2023,UT,Sex_Unknown,,621,
09/13/2023,WV,Female_Ages_65-74_yrs,113196,34399,30.4
09/13/2023,WY,Female_Ages_12-17_yrs,22070,1019,4.6
09/13/2023,WY,Male_Ages_40-49_yrs,34752,2425,7
09/13/2023,WY,Male_Ages_<5yrs,18104,23,0.1
09/13/2023,AL,Female_Ages_75+_yrs,207772,50719,24.4
09/13/2023,CA,Male_Ages_25-39_yrs,4542838,626817,13.8
09/13/2023,CO,Ages_75+_yrs,320281,194216,60.6
09/13/2023,CO,Female_Ages_12-17_yrs,213553,30003,14
09/13/2023,CT,Male_Ages_25-49_yrs,547897,86296,15.8
09/13/2023,FL,Female_Ages_40-49_yrs,1321122,107693,8.2
09/13/2023,FL,Male_Ages_2-4_yrs,354964,1426,0.4
09/13/2023,FL,Male_Ages_25-49_yrs,3373333,202519,6
09/13/2023,GA,Female_Ages_<2yrs,125038,1397,1.1
09/13/2023,HI,Ages_5-11_yrs,119544,8210,6.9
09/13/2023,HI,Female_Ages_65-74_yrs,78914,41938,53.1
09/13/2023,ID,Ages_65+_yrs,290670,,
09/13/2023,ID,Male_Ages_5-11_yrs,89457,,
09/13/2023,ID,Sex_Unknown,,,
09/13/2023,IL,Sex_Unknown,,8298,
09/13/2023,IN,Female_Ages_<2yrs,79420,341,0.4
09/13/2023,IN,Male_Ages_25-49_yrs,1069436,65746,6.1
09/13/2023,KS,Ages_65-74_yrs,272236,121170,44.5
09/13/2023,KS,Male_Ages_65+_yrs,213916,96528,45.1
09/13/2023,LA,Ages_40-49_yrs,544226,31983,5.9
09/13/2023,LA,Ages_<5yrs,301469,254,0.1
09/13/2023,MN,Ages_2-4_yrs,215635,8397,3.9
09/13/2023,ND,Ages_65-74_yrs,66664,31214,46.8
09/13/2023,ND,Sex_Unknown,,3731,
09/13/2023,NE,Age_Unknown,,,
09/13/2023,NE,Ages_40-49_yrs,221837,36332,16.4
09/13/2023,NJ,Ages_12-17_yrs,674763,54140,8
09/13/2023,OR,Ages_18-24_yrs,363022,42052,11.6
09/13/2023,OR,Female_Ages_25-49_yrs,707804,152455,21.5
09/13/2023,OR,Male_Ages_12-17_yrs,151969,20566,13.5
09/13/2023,PA,Female_Ages_5-11_yrs,499386,,
09/13/2023,PR,Male_Ages_25-39_yrs,288770,,
09/13/2023,SC,Female_Ages_65+_yrs,520384,,
09/13/2023,SD,Ages_50-64_yrs,165722,38259,23.1
09/13/2023,UT,Female_Ages_<5yrs,120743,2205,1.8
09/13/2023,UT,Male_Ages_18-24_yrs,184773,11529,6.2
09/13/2023,VA,Male_Ages_2-4_yrs,157421,3615,2.3
09/13/2023,VA,Sex_Male,4200257,838934,20
09/13/2023,VI,Ages_65-74_yrs,12354,1389,11.2
09/13/2023,VT,Female_Ages_18-24_yrs,32041,6461,20.2
09/13/2023,WI,Female_Ages_75+_yrs,245618,,
09/13/2023,WV,Female_Ages_2-4_yrs,28053,,
09/13/2023,WY,Ages_50-64_yrs,110155,15259,13.9
09/13/2023,NY,Female_Ages_25-49_yrs,3275169,490423,15
09/13/2023,OH,Ages_25-39_yrs,2278719,208577,9.2
09/13/2023,OK,Female_Ages_18-24_yrs,182565,9622,5.3
09/13/2023,OR,Ages_<5yrs,227811,6528,2.9
09/13/2023,PA,Ages_50-64_yrs,2635384,,
09/13/2023,PW,Female_Ages_2-4_yrs,330,,
09/13/2023,RI,Ages_2-4_yrs,33089,917,2.8
09/13/2023,RI,Female_Ages_25-39_yrs,105366,22985,21.8
09/13/2023,SC,Ages_65+_yrs,937023,,
09/13/2023,TN,Ages_12-17_yrs,516445,19925,3.9
09/13/2023,TX,Sex_Male,14402702,490543,3.4
09/13/2023,UT,Female_Ages_65+_yrs,195339,88724,45.4
09/13/2023,UT,Female_Ages_65-74_yrs,114222,51014,44.7
09/13/2023,UT,Male_Ages_65-74_yrs,105244,46335,44
09/13/2023,VT,Ages_2-4_yrs,17906,1184,6.6
09/13/2023,VT,Female_Ages_25-49_yrs,91186,28142,30.9
09/13/2023,WA,Male_Ages_65-74_yrs,348247,192837,55.4
09/13/2023,WA,Male_Ages_<5yrs,234488,12934,5.5
09/13/2023,WI,Male_Ages_12-17_yrs,227170,,
09/13/2023,TX,Age_Unknown,,,
09/13/2023,UT,Female_Ages_2-4_yrs,73668,1261,1.7
09/13/2023,UT,Female_Ages_25-39_yrs,344758,41284,12
09/13/2023,UT,Female_Ages_50-64_yrs,229596,56449,24.6
09/13/2023,WI,Male_Ages_75+_yrs,176877,,
09/13/2023,WY,Ages_12-17_yrs,45696,1910,4.2
09/13/2023,AK,Ages_5-11_yrs,71588,3619,5.1
09/13/2023,AS,Male_Ages_65+_yrs,1525,,
09/13/2023,AZ,Ages_2-4_yrs,264794,1413,0.5
09/13/2023,AZ,Female_Ages_25-49_yrs,1144046,146108,12.8
09/13/2023,CA,Sex_Male,19644854,3942850,20.1
09/13/2023,CT,Female_Ages_65+_yrs,354242,213858,60.4
09/13/2023,DE,Ages_25-39_yrs,188454,,
09/13/2023,FL,Male_Ages_65-74_yrs,1136559,349190,30.7
09/13/2023,GA,Ages_12-17_yrs,874560,40785,4.7
09/13/2023,GA,Ages_5-11_yrs,972755,24683,2.5
09/13/2023,HI,Male_Ages_65-74_yrs,73178,38685,52.9
09/13/2023,IA,Female_Ages_75+_yrs,142982,81260,56.8
09/13/2023,IL,Ages_<2yrs,289659,10889,3.8
09/13/2023,KS,Sex_Female,1461617,267450,18.3
09/13/2023,KY,Age_Unknown,,,
09/13/2023,MD,Female_Ages_25-49_yrs,1016290,216524,21.3
09/13/2023,MH,Female_Ages_25-49_yrs,12708,1525,12
09/13/2023,MI,Male_Ages_<2yrs,112317,2931,2.6
09/13/2023,MO,Sex_Male,3012662,418052,13.9
09/13/2023,MP,Female_Ages_<2yrs,706,12,1.7
09/13/2023,MT,Female_Ages_12-17_yrs,37709,2627,7
09/13/2023,NE,Female_Ages_<5yrs,63556,1183,1.9
09/13/2023,NJ,Male_Ages_<2yrs,103025,1207,1.2
09/13/2023,NV,Ages_50-64_yrs,577543,107430,18.6
09/13/2023,NV,Ages_65-74_yrs,303363,108772,35.9
09/13/2023,NY,Ages_18-24_yrs,1762544,155076,8.8
09/13/2023,NY,Sex_Unknown,,6105,
09/13/2023,OH,Male_Ages_<2yrs,137693,2241,1.6
09/13/2023,OR,Ages_5-11_yrs,342157,31488,9.2
09/13/2023,OR,Male_Ages_40-49_yrs,269612,54108,20.1
09/13/2023,PA,Ages_65-74_yrs,1354093,,
09/13/2023,PR,Sex_Male,1515721,,
